# 行頭#行はコメント行です
# このCSVファイルのステージ名とビルドプロファイルのシーンリスト名が一致している必要があります
# "シーンファイル名", "ステージ名", "アイコン","ステージ説明"

"石川県金沢市兼六園", "操作チュートリアル", "icons\income_fill72.png","★☆☆☆☆ \n 操作方法を案内します"
"三鷹井の頭", "三鷹井の頭", "icons\income_fill72.png","★☆☆☆☆ \n 簡単ステージ"
"UnitEnemy", "ユニット動作テスト", "icons\オノコロレットウ-logos.jpeg","☆☆☆☆☆ \n 設定テスト用"
"UnitFireDisaster", "火災テストマップ", "icons\income_fill72.png","☆☆☆☆☆ パフォーマンステスト用"
"武蔵野堺南木密", "武蔵野堺南木密", "icons\income_fill72.png","☆☆☆☆☆ \n 地震 火災シミュレーター"
"三鷹大沢", "三鷹大沢", "icons\income_fill72.png","☆☆☆☆☆ \n 大雨災害シミュレーター"
"新宿都庁", "新宿都庁", "icons\income_fill72.png","☆☆☆☆☆ \n 観光用"

"三鷹井の頭５丁目", "三鷹井の頭５丁目", "icons\income_fill72.png","☆☆☆☆☆ \n 防災投資シミュレーション（小マップ）"

# "東京駅", "東京駅", "\staging\icons\income_fill72","☆☆☆☆☆ \n 観光用"
# "今日はここまで", "今日はここまで", "\staging\icons\オノコロレットウ-logos.jpeg","☆☆☆☆☆ \n お疲れ様でした"


